"Word","SUBTLEX.FREQ","BNC.FREQ","Celex.FREQ"
"announce",484,1120,168
"announced",287,10533,995
"annoy",126,242,60
"annoyed",170,928,225
"annoys",30,105,17
"annual",314,8154,756
"annuals",2,82,12
"annul",22,35,4
"annulled",40,96,5
"anode",1,35,1
"anoint",10,16,12
"anoints",1,7,2
"anon",10,53,4
"answer",8076,14421,3161
"answered",769,3791,1400
"answers",1493,3667,644
"ant",200,443,69
"ante",79,162,15
"antes",2,6,0
"anthem",75,307,44
"anthems",3,99,5
"anther",2,7,3
"anthers",1,23,1
"anthill",29,15,5
"anthills",6,7,1
"anthrax",38,27,3
"anti",20,243,0
"antics",49,246,43
"antique",296,871,227
"antiques",106,534,70
"antler",14,29,7
"antlers",43,107,35
"ants",329,569,140
"anus",49,140,37
"anvil",26,74,22
"anvils",8,3,0
"anxious",705,3101,736
"any",49853,124108,23611
"apace",3,105,12
"apache",17,130,54
"apart",2281,3507,2002
"ape",387,214,90
"aped",0,23,5
"apes",172,263,118
"apex",18,321,59
"aphid",4,38,0
"aphids",9,120,9
"aphis",3,6,2
"apiece",196,215,55
"aping",1,21,5
"aplomb",8,82,17
"appal",2,15,12
"appalled",57,599,160
"appals",2,12,3
"appeal",650,11002,939
"appealed",55,1388,165
"appeals",119,1632,176
"appear",1168,10914,1712
"appeared",491,10666,2200
"appears",1033,7658,1067
"appease",25,128,40
"appeased",9,40,25
"append",0,65,4
"appends",0,6,0
"applaud",101,190,48
"applauds",12,17,8
"applause",460,574,220
"apple",878,2654,315
"apples",370,858,231
"applied",301,7606,794
"applies",127,2784,317
"apply",594,7945,868
"appoint",101,1035,76
"appoints",6,187,11
"apposed",3,10,0
"appraise",9,81,8
"appraised",23,112,10
"apprise",5,8,4
"apprised",37,26,10
"appro",0,11,2
"approach",1005,16217,1701
"approached",220,2923,535
"approve",579,1065,232
"approved",322,4900,525
"approves",44,125,20
"april",10,14707,886
"apron",132,495,131
"aprons",17,78,33
"apse",0,123,30
"apses",0,45,1
"apt",83,676,365
"apter",0,12,0
"aptly",16,242,31
"aptness",0,13,8
"aqueous",4,104,1
"arab",3,2638,763
"arabs",1,523,501
"arbour",1,59,18
"arbours",0,7,6
"arc",53,897,132
"arcade",88,351,45
"arcades",11,118,27
"arcane",11,118,17
"arced",3,34,0
"arch",107,968,242
"archduke",5,35,5
"arched",9,472,90
"archer",25,460,95
"archers",33,309,17
"arches",36,531,106
"arching",6,97,34
"archives",116,745,78
"archly",0,55,11
"archway",11,214,40
"archways",0,56,8
"arcing",5,20,3
"arcs",7,142,13
"arctic",14,870,119
"ardent",30,250,65
"ardour",4,88,33
"ardours",0,4,2
"arduous",34,248,49
"are",225936,470949,79196
"area",3663,35144,3603
"areas",448,23363,2549
"ares",1,29,1
"arete",0,5,0
"argent",3,29,3
"argon",7,44,4
"argot",1,21,5
"argue",999,4274,672
"argued",137,6481,935
"argues",20,2325,188
"argus",0,84,33
"aria",34,159,22
"arias",5,172,11
"arid",14,341,96
"aries",0,128,8
"aright",8,40,13
"arise",105,3294,384
"ark",46,325,51
"arks",3,16,4
"arm",3239,9194,1896
"armband",13,23,5
"armbands",8,28,8
"armchair",21,742,179
"armchairs",3,223,77
"armed",1008,4798,649
"armful",12,68,18
"armfuls",1,26,9
"armhole",0,26,2
"armholes",0,11,2
"armies",169,1015,194
"arming",46,54,14
"armless",4,13,4
"armlets",0,5,3
"armoire",8,7,5
"armour",80,896,172
"armoured",52,561,164
"armpit",50,84,46
"armpits",49,129,56
"arms",2873,11143,2668
"army",2796,11441,1933
"arose",42,1588,260
"around",37074,45286,9011
"arouse",62,322,112
"aroused",113,909,230
"arrack",0,7,10
"arraigned",32,32,10
"arrange",755,2272,512
"arranged",816,4064,885
"arrant",5,15,5
"arras",0,44,6
"array",78,1142,151
"arrayed",5,46,15
"arrays",5,124,16
"arrears",9,640,25
"arrest",2759,2212,331
"arrests",136,580,77
"arrive",942,2912,628
"arrived",1933,8833,1980
"arrives",466,889,154
"arrow",287,1040,145
"arrows",163,596,119
"arse",188,555,48
"arsehole",17,82,5
"arseholes",3,19,1
"arsenic",47,148,13
"arses",16,29,5
"arson",128,323,31
"art",2890,15587,2972
"artful",7,71,12
"artist",1418,4060,694
"artiste",29,35,9
"artistes",4,71,10
"artists",360,4049,637
"artless",3,31,5
"arts",361,5354,826
"arty",21,153,24
"arum",0,32,2
"aryan",0,51,29
"aryans",0,14,11
"as",99083,517788,124108
"ascend",43,130,28
"ascends",3,45,7
"ascent",16,505,147
"ascents",1,86,15
"ascribe",4,113,0
"ascribed",2,379,0
"ascribes",0,38,0
"ash",127,1263,650
"ashamed",1366,1100,390
"ashen",2,80,22
"ashes",442,538,180
"ashore",311,647,111
"ashtray",156,232,104
"ashtrays",31,92,57
"ashy",9,16,8
"asia",1,3049,475
"asian",13,1941,219
"asians",1,303,68
"aside",1067,3613,752
"asides",1,54,8
"ask",22282,19401,4052
"askance",3,55,16
"asked",10932,33420,8385
"askew",9,85,28
"asking",6452,6468,1429
"asks",840,1983,785
"aslant",0,10,2
"asleep",2485,2466,772
"asp",6,66,0
"aspect",197,4352,728
"aspects",135,7291,799
"aspen",9,65,12
"aspens",3,2,3
"asphalt",45,98,57
"aspic",14,29,7
"aspire",54,224,48
"aspired",8,154,30
"aspires",7,52,10
"aspirin",355,323,54
"aspirins",25,42,19
"asps",3,3,0
"ass",11381,320,172
"assail",4,27,4
"assailed",2,127,40
"assails",0,5,1
"assault",824,2271,384
"assaults",46,431,47
"assay",8,493,2
"assayed",1,135,5
"assays",1,222,0
"assent",4,416,44
"assents",0,14,4
"assert",42,698,164
"asserts",12,329,49
"asses",565,59,20
"assess",73,2675,188
"assessed",23,2218,135
"asset",192,2046,149
"assets",254,4330,249
"asshole",2713,49,18
"assholes",514,16,3
"assign",126,381,44
"assigned",613,1222,265
"assigns",11,101,5
"assist",378,2534,192
"assists",15,170,16
"assize",0,45,5
"assorts",0,3,0
"assuage",6,59,20
"assuaged",2,51,20
"assume",1648,4117,756
"assumed",576,4372,735
"assumes",55,1009,153
"assure",1011,971,244
"assured",312,2247,513
"assures",42,134,21
"aster",0,23,5
"astern",47,74,19
"asters",0,14,7
"asthma",182,653,70
"astir",1,5,4
"astound",21,19,4
"astounds",6,6,4
"astral",40,52,40
"astray",74,172,52
"astride",8,148,36
"astute",50,247,50
"at",153482,478178,100169
"ate",1695,1756,732
"athens",0,1083,0
"athlete",222,366,148
"athletes",153,475,150
"athwart",2,15,8
"atlas",19,259,40
"atoll",22,59,7
"atolls",2,32,0
"atom",125,552,187
"atoms",84,1056,310
"atone",40,33,8
"atoned",1,10,5
"atop",43,140,40
"attach",112,808,136
"attached",607,3939,675
"attack",3636,9527,1975
"attacked",1202,2900,500
"attacks",577,3395,514
"attain",47,459,96
"attained",40,556,95
"attains",2,53,9
"attar",1,6,7
"attempt",956,11432,1813
"attempts",214,5186,715
"attend",691,3590,572
"attends",24,248,34
"attest",22,69,12
"attests",1,57,2
"attic",379,650,120
"attics",7,63,21
"attired",11,86,15
"attract",288,2545,368
"attracts",59,458,84
"auburn",8,108,24
"auction",428,1327,87
"auctioned",26,155,5
"auctions",18,206,11
"audience",1241,5480,1164
"audit",57,2268,29
"audits",6,222,6
"auger",11,39,2
"augers",0,7,2
"aught",15,62,1
"augment",12,158,20
"augments",1,19,4
"augur",1,42,5
"augured",1,18,5
"augurs",0,23,0
"august",17,8037,959
"auk",2,34,5
"auks",0,28,0
"aunt",912,3068,541
"auntie",82,675,70
"aunties",7,29,10
"aunts",71,238,67
"aura",76,418,86
"aural",3,101,14
"auras",10,6,5
"aussie",0,198,12
"aussies",0,116,3
"austere",10,307,83
"austria",0,1289,166
"austrian",0,717,89
"austrians",0,98,11
"author",352,4352,522
"authors",65,2510,253
"auto",289,256,62
"autos",3,10,3
"autumn",140,3918,605
"autumns",2,4,2
"avail",41,359,83
"availed",3,30,10
"avails",3,4,1
"avenge",130,97,28
"avenged",43,48,10
"avens",0,24,2
"averred",0,31,5
"avers",0,12,1
"averse",15,143,23
"avert",23,224,44
"averts",0,12,2
"avid",20,166,31
"avoid",1177,7973,1348
"avoids",23,446,57
"avow",2,3,4
"avowed",2,110,39
"avows",0,4,2
"await",172,521,108
"awaits",197,244,27
"awake",1315,1412,447
"awakes",16,20,5
"award",489,15114,197
"awards",175,2373,142
"aware",1807,10764,1768
"awash",13,173,33
"away",36915,38747,12155
"awe",93,527,148
"awed",6,127,45
