Word,RoughnessMean,HardnessMean,MainYear,EtymonYear,Etymology,Origin,IE_root_watkins_2000,DetailedForm_watkins_2000,AlternativeForm,CommentOnOEDFullSense
hard,NA,6.3,eOE/OE/a1225,,,Germanic,kar-,kar-,,
limp,NA,-3.3,1706,,,unknown origin,kel-,kel-1,,
holey,2,NA,1398,946,hole,Germanic,kel-,kel-2,hole,
crevices,3.9,NA,1382,,,French borrowing,ker-,ker-2,,
ceramic,-2.5,2.8,1850,,,Greek through French,ker-,ker-4,,
craterous,3.6,2.8,1730,,,Latin,kere-,kere-,,
cushioned,NA,-3.8,1839,1361,cushion,French borrowing,koksa-,koksa-,cushion,
cushiony,NA,-4.3,1839,1361,cushion,French borrowing,koksa-,koksa-,cushion,
crusty,2.9,2.6,c1400,a1330,crust,Latin / French borrowing,kreus-,kreus-,,
leather,-2.1,-0.9,c1000,,,Germanic,letro-,letro-,,
melted,NA,-3.2,OE/a1425,eOE/OE/a1325,melt,Germanic; merging of words,mel-,mel-,,
mushy,NA,-5.3,1768,eOE/lOE/1587,mash,apparently an imitative alteration of 'mash',mu-,mu-,mush?,
muscular,NA,3.1,1670,a1398,muscle,French borrowing,mus-,mus-,muscle,
abrasive,6.3,4.2,1601,,,Latin,NA,NA,,
aluminum,-2.6,1.8,1811,1788,alumine,French borrowing,NA,NA,,
bald,-4.1,NA,1297,,,uncertain origin,NA,NA,,
barbed,6.3,3.6,a1529,?c1450/a1500,barb,French borrowing,NA,NA,barb bhardh-a (if it goes back to beard?),
blunt,0.5,NA,?c1200,,,Etymology unknown,NA,NA,,
bony,2.5,4.3,a1535,c1000,bone,Germanic,NA,NA,,
brick,1.7,5.8,c1440,,,probably French,NA,NA,,
bubbly,-3.3,-3.5,1599,c1303,burble,origin uncertain; suggested onomatopoeia,NA,NA,,"burble > bubble > bubbly; The English word can hardly have any actual connection with these, except as a parallel onomatopoeia, expressing the sound made by the agitation, issuing forth, or flowing of a liquid mixed with vesicles of air or gas. Of this the later bubble n. appears to have been either a simple variant or a conscious modification."
bumpy,3.3,NA,1865,1611,bump,Onomatopoeia,NA,NA,,Onomatopoeic: the v.n. of action being probably coeval.
chalky,-1.1,-2.3,c1400,c700,chalk,Germanic,NA,NA,,
cloth,-2.4,-2.4,a800,,,Germanic,NA,NA,,
coarse,5.4,2.7,1424,,,unknown origin,NA,NA,,"started off meaning ordinary, common, mean!!"
coated,-2.8,NA,1566,c1300,coat,French borrowing,NA,NA,,
comfortable,NA,-4.8,c1460,c1290,comfort,French borrowing,NA,NA,,"original meaning:  trans. To strengthen (morally or spiritually); to encourage, hearten, inspirit, incite. Obs."
cotton,-3.7,-4.1,c1400,,,French borrowing,NA,NA,,
crumbly,3.2,-0.5,?1523,c975,crumb,Germanic,NA,NA,,
crushed,NA,1,a1616,1398,crush,French,NA,NA,,
cuddly,NA,-5,1863,c1520,cuddle,uncertain origin,NA,NA,,
cushy,NA,-4.7,1887,,,Persian/Urdu borrowing,NA,NA,,
delicate,NA,-4.2,c1374,,,Latin,NA,NA,,
dented,2.4,NA,1398,c897,dint,probably Germanic,NA,NA,,
fiberglass,2.7,3.3,1937,,,U.S. proprietary term,NA,NA,,
fibrous,2.3,NA,1657,1398,fibre,Latin / French borrowing,NA,NA,,
fine,-5.2,NA,c1200,,,French borrowing,NA,NA,,
flabby,NA,-2.8,1598,1362,flap,probably onomatopoetic,NA,NA,,onomatopoetic modification of flappy; the voiced ending in flab- as compared with flap- gives to the syllable a feebler effect suited to the meaning
flimsy,NA,-2.7,1702,,,possibly onomatopoetic formation suggested by film,NA,NA,,"For the ending compare¾tipsy,¾bumpsy; also¾limpsy, given by Webster as a U.S. synonym of¾flimsy."
fluffy,NA,-5.9,1825,,fluff,possibly onomatopoetic formation suggested by film,NA,NA,," apparently connected with flue n.2; perhaps an onomatopoeic modification of that word, imitating the action of puffing away some light substance; "
formica,-1.3,3.1,1922,,,Latin,NA,NA,,first meant ant
gnarled,4.4,NA,a1616,1608,knurled,unknown origin,NA,NA,,
gooey,-4.9,-4.3,1906,1903,goo,unknown origin,NA,NA,,
goopy,-3.6,-4.3,1926,1900,goop,arbitrary formation,NA,NA,,entry of 'goop'
greasy,-5.1,NA,?1518,a1340,grease,French borrowing,NA,NA,,
hairy,0,-1.4,a1400,a800,hair,Germanic,NA,NA,,
harsh,5.5,NA,a1400,,,Germanic,NA,NA,,
inflexible,NA,4.9,1398,,,Latin,NA,NA,,
jagged,6.3,NA,c1440,,jag,formation appears to be onomatopoetic,NA,NA,,
lacy,-1.4,-2.5,1804,13..,lace,French borrowing,NA,NA,,
lumpy,2.9,NA,1707,a13800,lump,Germanic,NA,NA,,
matted,0.3,NA,1566,eOE/OE/a1387,mat,Latin,NA,NA,,
metal,NA,5.2,c1230,,,French borrowing,NA,NA,,
metallic,-1.9,2.8,a1425,c1230,metal,French borrowing,NA,NA,,
nylon,-2.6,-2.7,1938,,,apparently an arbitrary formation of rayon and cotton,NA,NA,,
papery,-3.2,NA,1602,1341,paper,French borrowing,NA,NA,,
pebbly,3.8,3.3,1600,OE/a1425,pebble,origin uncertain,NA,NA,,
prickly,5.2,3.6,1577,OE/lOE/c1400,prickle,Germanic,NA,NA,,
rocky,4.8,4.4,?c1475,OE/c1250,rock,French borrowing,NA,NA,,
rubbery,NA,-2,1879,a1325/1478,rub/rubber,origin uncertain,NA,NA,,"rub = 'to apply pressure and friction', rubber = 'a sharp iron instrument in cutting off the superfluous nap of worsted'"
satiny,-5.3,-5,1786,?a1366,satin,French,NA,NA,,
scrunchy,0.6,NA,?1905,1806,craunch,variation of cranch,NA,NA,,
sequined,3.3,NA,1894,1613,sequin,French borrowing,NA,NA,,entry of 'sequin'
serrated,4,NA,1703,1668,serrate,late Latin borrowing,NA,NA,,
silky,-5.9,-5.7,1611,c888,silk,commonly supposed to be Latin,NA,NA,,
sleek,-4.6,NA,1600,?a1366,slick,later variant of 'slick'; Germanc,NA,NA,,
smooshy,NA,-5.1,NA,NA,NA,NA,NA,NA,,
smooth,-6.9,NA,a1050,c725,smeeth,Germanic,NA,NA,,
soft,NA,-6.3,c1000,,,Germanic,NA,NA,,
soggy,NA,-4.3,a1722,a1552,sog,of obscure origin,NA,NA,,
spiky,5.8,3.8,1578,1393,spike,Latin,NA,NA,,
spongy,NA,-3.7,1539,c1000,sponge,"Greek through Latin, OE",NA,NA,,
squeezable,NA,-3.8,1813,1601,squeeze,perhaps strengthened form of 'quease',NA,NA,,
squishy,NA,-4.6,1847,1647,squish,imitative,NA,NA,,
steel,NA,5.3,c725,,,Germanic,NA,NA,,
suede,-3.6,-3.3,1859,,,French borrowing,NA,NA,,
textured,0.8,NA,1888,1447,texture,Latin (through French?),NA,NA,,
tin,-1.8,2.3,c897,,,Germanic,NA,NA,,
varnished,-3.7,NA,1553,1341-1342,varnish,French borrowing,NA,NA,,
furry,-2.8,-5.3,1598,13../?a1366,fur,French borrowing,pa-,pa-,fur,
peeling,0.8,NA,1745,a1150,pill,"variant of 'peel', probably Germanic",pag-,pag-,,
painted,-3,NA,a1382,c1275,paint,French borrowing,peig-,peig-,paint,
powder,-4.3,-4.3,a1300,,,French borrowing,pel-,pel-1,,
filmy,NA,-2.8,1661,c1000,film,Germanic,pel,pel-4,,
felt,-3.9,-3.6,c1000,,,Germanic,pel-,pel-6,,
polished,-5.3,NA,a1382,a1382,polish,French borrowing,pel-,pel-6,polish,To make smooth (and usually glossy) by friction; (in later use also) to apply polish to or rub polish into. Also with¾up. Also: to make bright (obs.¾rare). => weakening of friction sense?
plastic,-4.1,NA,1598,,,Latin,pele-,pele-,,
feathered,-4.6,-4.8,c1150,OE,feather,Germanic,pet-,pet-,,
pointy,NA,3.2,1644,?a1200/c1230,point,complex,peuk-,peuk-,point,
plush,NA,-5.1,1590,,,French borrowing,pilo-,pilo-,,
flat,-2.7,NA,1296,,,Germanic,plat-,plat-,,
fuzzy,-1.6,-4,1613,1601,fuzz,unknown origin,pu-,pu-,,Perhaps imitative of the action of blowing away light particles
ribbed,3.4,NA,a1425/?1523,eOE/OE/?a1200,rib,Germanic,rebh-,rebh-,rib,
corroded,3.5,NA,1604,c1400,corrode,Latin through French,red-,red-,,
rippled,3.1,NA,1724,c1350,ripple,Germanic,rei-,rei-,ripple,
rigid,NA,4.9,?a1425/1615,,,Latin / French borrowing,reig-,reig-,,
rust,3.5,NA,eOE/OE/?c1225,,,Germanic,reudh-,reudh-,,
ragged,3.3,NA,c1300,,,origin uncertain,reue-,reue-,rag,
rough,6.2,NA,OE/?c1225,,,Germanic,reue-,reue-,,
rugged,4,NA,?a1300/c1330,,,origin uncertain,reue-,reue-,rug,
shiny,-4.2,NA,1590,c725,shine,Germanic,skai-,skai-,shine,
lubricated,-6.2,NA,1781,1623,lubricate,French borrowing 1490 'lubric',sleubh-,sleubh-,lubricate,
solid,NA,5.9,c1400,,,French borrowing,sol-,sol-,,
stiff,NA,4.9,1000,,,Germanic,steip-,steip-,,
stubbly,5,1.8,1600,1297,stubble,French borrowing,steip-,steip-,stubble,
starched,NA,1.3,1617,c1000,stark,Germanic,ster-,ster-,starch,
indestructible,NA,6.4,1674,1297,destroy,Latin,stere-,stere-,destroy,
tender,NA,-5,?a1200/?c1225,,,French borrowing,ten-,ten-,,
wafflish,1.6,NA,1930,1295,wafer,French borrowing,webh-,webh-,waffle,entry of 'waffle'; used the textile sense
woven,-0.2,NA,c1478/1488,c900,weave,Germanic,webh-,webh-,weave,
velour,NA,-3.8,1706,1587,velure,French borrowing,wel-,wel-,,
velvety,-5.3,-5.3,1752,1320,velvet,Latin,wel-,wel-,velvet,
flannel,-2.9,-3.5,1503,,,uncertain origin,wele-,wele-,,
woolly,0,-1.5,1591,c725,wool,Germanic,wele-,wele-,wool,
wooden,1.3,3.8,1538,c725/OE,wood,Germanic,widhu-,widhu-,wood,
waxy,-3.6,NA,1552,805-810,wax,Germanic,wokso-,wokso-,wax,
disjointed,2.7,1.4,a1643,1483,disjoin,French borrowing,yeug-,yeug-,joint,
